Entity,Date,Description,Amount,Candidate,Oppose/Support
San Diego County Democratic Party,5/23/25,Digital Ads,"$15,000.00 ",John McCann,Oppose
Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025,5/27/25,Streaming TV,"$30,000.00 ",John McCann,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",5/29/25,Digital Ads & Video Production,"$2,600.00 ",Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",5/29/25,Consulting,"$7,000.00 ",Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",5/29/25,Digital Ads,"$28,000.00 ",Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",5/29/25,Poll,"$34,900.00 ",Paloma Aguirre,Support
Citizens for a Better South Bay- in support of John McCann for Supervisor 2025,5/28/25,Web,"$14,500.00 ",John McCann,Support
"Working Families to Support Paloma Aguirre for Board of Supervisors 2025, sponsored by Service Employees International Union Local 221",5/30/25,Mailer,"$29,230.56 ",John McCann,Oppose
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/30/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/31/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/31/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/31/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/31/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/31/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/31/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/31/25,Phone bank,25,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/31/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/31/25,Phone bank,25,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/31/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",5/31/25,Phone bank,75,Paloma Aguirre,Support
Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025,5/30/25,Direct Mail,16296,John McCann,Support
Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025,5/30/25,Direct Mail,31030,John McCann,Support
Deputy Sheriffs' Association of San Diego County PAC,6/2/25,Mailer,74998.83,John McCann,Support
Imperial Beach Locals and South Bay Locals (IB and South Bay Locals),6/2/25,Canvassing,60000,John McCann,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/2/25,Voter File,240,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/2/25,Graphic Design,750.75,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/2/25,Mailer,10237.19,Paloma Aguirre,Support
Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025,6/3/25,Direct Mail,17866,John McCann,Support
United Domestic Workers of America Action Fund,6/2/25,Canvassing & Phonebanking,3442.5,Paloma Aguirre,Support
"Working Families to Support Paloma Aguirre for Board of Supervisors 2025, sponsored by Service Employees International Union Local 221",6/3/25,Mailer,29230.56,John McCann,Oppose
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,100,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/5/25,Phone bank,75,Paloma Aguirre,Support
"Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025	",6/4/25,TV or Cable Airtime and Production Costs,30000,John McCann,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89	",6/5/25,Voter File,240,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89	",6/5/25,Mailer,9850.19,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89	",6/5/25,Graphic Design,750.75,Paloma Aguirre,Support
Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025,6/5/25,Text Messaging,4231.22,John McCann,Support
Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025,6/5/25,Direct Mail,16296,John McCann,Support
Courage California State PAC,6/4/25,Voter Guide Emails,1202,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/6/25,Text Messaging,8476.32,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/6/25,Consulting,5000,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/6/25,Social Media Ads & Production,8000,Paloma Aguirre,Support
"Working Families to Support Paloma Aguirre for Board of Supervisors 2025, sponsored by Service Employees International Union Local 221",6/6/25,Mailer,14615.28,Paloma Aguirre,Support
"Working Families to Support Paloma Aguirre for Board of Supervisors 2025, sponsored by Service Employees International Union Local 221",6/6/25,Mailer,14615.28,John McCann,Oppose
United Domestic Workers of America Action Fund,6/3/25,Mailer,6696.85,Paloma Aguirre,Support
United Domestic Workers of America Action Fund,6/6/25,"Mailer, T-Shirts, Buttons, Yard Signs",10131.46,Paloma Aguirre,Support
"Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025	",6/9/25,Production for Streaming/Digital/Texting Ads,16550,John McCann,Support
"Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025	",6/10/25,Direct Mail,24448,John McCann,Support
"Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025	",6/10/25,Direct Mail,16296,John McCann,Support
Citizens for a Better South Bay- in support of John McCann for Supervisor 2025,6/9/25,Web,7500,John McCann,Support
Citizens for a Better South Bay- in support of John McCann for Supervisor 2025,6/10/25,Web,7500,John McCann,Support
Citizens for a Better South Bay- in support of John McCann for Supervisor 2025,6/10/25,Web,133.87,John McCann,Support
Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025,6/10/25,Direct Mail,24448,John McCann,Support
Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025,6/10/25,Direct Mail,16296,John McCann,Support
Imperial Beach Locals and South Bay Locals (IB and South Bay Locals),6/10/25,Walkers,20000,John McCann,Support
California Real Estate Independent Expenditure Committee - California Association of REALTORS,6/10/25,Polling,10500,Paloma Aguirre,Oppose
California Real Estate Independent Expenditure Committee - California Association of REALTORS,6/10/25,Research,10000,Paloma Aguirre,Oppose
California Real Estate Independent Expenditure Committee - California Association of REALTORS,6/10/25,TV Ads,125000,Paloma Aguirre,Oppose
United Domestic Workers of America Action Fund,6/10/25,Mailer,6696.85,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/11/25,Mailer,20806.92,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/11/25,Graphic Design,750.75,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/11/25,Voter File,340,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/13/25,Text Messages,8392.92,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/13/25,Graphic Design,911.63,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/13/25,Voter File,185,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/13/25,Mailer,9325.5,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/14/25,Text Messages,8422.12,Paloma Aguirre,Support
"Working Families to Support Paloma Aguirre for Board of Supervisors 2025, sponsored by Service Employees International Union Local 221",6/13/25,Mailer,14615.28,Paloma Aguirre,Support
"Working Families to Support Paloma Aguirre for Board of Supervisors 2025, sponsored by Service Employees International Union Local 221",6/13/25,Mailer,27521.3,John McCann,Oppose
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/11/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/13/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/13/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/13/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/13/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/13/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/13/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/13/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/13/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/13/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/13/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/14/25,Phone bank,62.5,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/14/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/14/25,Phone bank,62.5,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/14/25,Phone bank,62.5,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/14/25,Phone bank,56.25,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/14/25,Phone bank,62.5,Paloma Aguirre,Support
Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025,6/13/25,Streaming TV,20000,John McCann,Support
Citizens for a Better South Bay- in support of John McCann for Supervisor 2025,6/16/25,Lit,15000,John McCann,Support
Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025,6/16/25,Text Messaging,6145.79,John McCann,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/17/25,Text Messaging,8199.02,Paloma Aguirre,Support
"Working Families to Support Paloma Aguirre for Board of Supervisors 2025, sponsored by Service Employees International Union Local 221",6/16/25,Mailer,14791.46,Paloma Aguirre,Support
"Working Families to Support Paloma Aguirre for Board of Supervisors 2025, sponsored by Service Employees International Union Local 221",6/16/25,Mailers,27697.47,John McCann,Oppose
"Citizens for a Better South Bay- in support of John McCann for Supervisor 2025	",6/17/25,Web,7500,John McCann,Support
"Citizens for a Better South Bay- in support of John McCann for Supervisor 2025	",6/17/25,Lit,8703.18,John McCann,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/18/25,Voter File,350,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/18/25,Graphic Design,911.63,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/18/25,Mailer,13237.41,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/18/25,Text Messages,8166.52,Paloma Aguirre,Support
Committee for Safe and Affordable Communities in Support of John McCann for Supervisor 2025,6/18/25,Streaming TV,30000,John McCann,Support
"Imperial Beach Locals and South Bay Locals (IB and South Bay Locals)	",6/19/25,Canvassing,35000,John McCann,Support
San Diego County Democratic Party,6/18/25,Digital Ads,7750,John McCann,Oppose
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/18/25,Consulting,11000,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/18/25,Digital Ads,10000,Paloma Aguirre,Support
"Working Families to Support Paloma Aguirre for Board of Supervisors 2025, sponsored by Service Employees International Union Local 221",6/20/25,Video Ads,27786,John McCann,Oppose
"Working Families to Support Paloma Aguirre for Board of Supervisors 2025, sponsored by Service Employees International Union Local 221",6/20/25,Video Ads,56414,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/20/25,Voter File,220,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/20/25,Mailer,7378,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/20/25,Graphic Design,911.63,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89",6/20/25,Text Messages,8142.22,Paloma Aguirre,Support
Citizens for a Better South Bay- in support of John McCann for Supervisor 2025,6/20/25,Text Messages,2947.4,John McCann,Support
Citizens for a Better South Bay- in support of John McCann for Supervisor 2025,6/20/25,Text Messages,2500,John McCann,Support
Citizens for a Better South Bay- in support of John McCann for Supervisor 2025,6/22/25,Text Messages,1775.6,John McCann,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/20/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/20/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/20/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/20/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/20/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/20/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/20/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/20/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/20/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/20/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/21/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/21/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/21/25,Phone bank,50,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/21/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/21/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/21/25,Phone bank,56.25,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/21/25,Phone bank,75,Paloma Aguirre,Support
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Community Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",6/21/25,Phone bank,75,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89	",6/23/25,Voter File,350,Paloma Aguirre,Support
"San Diego Labor Coalition, Sponsored by Laborers' International Union of North America Local 89	",6/23/25,Graphic Design,911.63,Paloma Aguirre,Support
